"U.S. Census Bureau"
"Source: Monthly Retail Trade and Food Services"
"44812: Women's Clothing Stores: U.S. Total"
"Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2016"
"Data Extracted on: November 17, 2016 (6:22 pm)"

Period,Value
Jan-1992,2631
Feb-1992,2589
Mar-1992,2559
Apr-1992,2636
May-1992,2613
Jun-1992,2571
Jul-1992,2605
Aug-1992,2673
Sep-1992,2664
Oct-1992,2672
Nov-1992,2690
Dec-1992,2762
Jan-1993,3011
Feb-1993,2709
Mar-1993,2584
Apr-1993,2703
May-1993,2760
Jun-1993,2695
Jul-1993,2769
Aug-1993,2671
Sep-1993,2703
Oct-1993,2662
Nov-1993,2652
Dec-1993,2580
Jan-1994,2585
Feb-1994,2648
Mar-1994,2615
Apr-1994,2573
May-1994,2470
Jun-1994,2557
Jul-1994,2476
Aug-1994,2571
Sep-1994,2460
Oct-1994,2559
Nov-1994,2546
Dec-1994,2551
Jan-1995,2523
Feb-1995,2423
Mar-1995,2475
Apr-1995,2426
May-1995,2433
Jun-1995,2420
Jul-1995,2419
Aug-1995,2342
Sep-1995,2406
Oct-1995,2321
Nov-1995,2340
Dec-1995,2326
Jan-1996,2265
Feb-1996,2342
Mar-1996,2252
Apr-1996,2353
May-1996,2396
Jun-1996,2469
Jul-1996,2300
Aug-1996,2327
Sep-1996,2371
Oct-1996,2396
Nov-1996,2360
Dec-1996,2386
Jan-1997,2383
Feb-1997,2389
Mar-1997,2367
Apr-1997,2272
May-1997,2253
Jun-1997,2300
Jul-1997,2311
Aug-1997,2339
Sep-1997,2350
Oct-1997,2319
Nov-1997,2326
Dec-1997,2336
Jan-1998,2372
Feb-1998,2307
Mar-1998,2288
Apr-1998,2429
May-1998,2350
Jun-1998,2350
Jul-1998,2407
Aug-1998,2360
Sep-1998,2328
Oct-1998,2375
Nov-1998,2404
Dec-1998,2410
Jan-1999,2407
Feb-1999,2423
Mar-1999,2512
Apr-1999,2537
May-1999,2542
Jun-1999,2510
Jul-1999,2484
Aug-1999,2464
Sep-1999,2436
Oct-1999,2428
Nov-1999,2435
Dec-1999,2420
Jan-2000,2323
Feb-2000,2434
Mar-2000,2654
Apr-2000,2587
May-2000,2669
Jun-2000,2638
Jul-2000,2647
Aug-2000,2680
Sep-2000,2729
Oct-2000,2699
Nov-2000,2673
Dec-2000,2608
Jan-2001,2644
Feb-2001,2672
Mar-2001,2616
Apr-2001,2691
May-2001,2596
Jun-2001,2577
Jul-2001,2611
Aug-2001,2699
Sep-2001,2515
Oct-2001,2649
Nov-2001,2623
Dec-2001,2622
Jan-2002,2628
Feb-2002,2659
Mar-2002,2647
Apr-2002,2656
May-2002,2584
Jun-2002,2592
Jul-2002,2551
Aug-2002,2590
Sep-2002,2524
Oct-2002,2549
Nov-2002,2578
Dec-2002,2698
Jan-2003,2638
Feb-2003,2575
Mar-2003,2619
Apr-2003,2597
May-2003,2634
Jun-2003,2667
Jul-2003,2756
Aug-2003,2719
Sep-2003,2789
Oct-2003,2774
Nov-2003,2824
Dec-2003,2900
Jan-2004,2855
Feb-2004,2890
Mar-2004,2927
Apr-2004,2833
May-2004,2884
Jun-2004,2881
Jul-2004,2858
Aug-2004,2861
Sep-2004,2923
Oct-2004,2984
Nov-2004,2951
Dec-2004,2969
Jan-2005,3001
Feb-2005,3043
Mar-2005,2988
Apr-2005,3073
May-2005,3051
Jun-2005,3120
Jul-2005,3046
Aug-2005,3097
Sep-2005,3086
Oct-2005,3152
Nov-2005,3168
Dec-2005,3166
Jan-2006,3262
Feb-2006,3140
Mar-2006,3162
Apr-2006,3194
May-2006,3175
Jun-2006,3222
Jul-2006,3281
Aug-2006,3159
Sep-2006,3269
Oct-2006,3262
Nov-2006,3206
Dec-2006,3447
Jan-2007,3410
Feb-2007,3363
Mar-2007,3407
Apr-2007,3369
May-2007,3524
Jun-2007,3440
Jul-2007,3130
Aug-2007,3367
Sep-2007,3330
Oct-2007,3350
Nov-2007,3335
Dec-2007,3328
Jan-2008,3271
Feb-2008,3294
Mar-2008,3265
Apr-2008,3326
May-2008,3297
Jun-2008,3277
Jul-2008,3299
Aug-2008,3291
Sep-2008,3209
Oct-2008,3064
Nov-2008,3033
Dec-2008,2917
Jan-2009,2956
Feb-2009,2980
Mar-2009,2942
Apr-2009,3029
May-2009,3038
Jun-2009,2992
Jul-2009,2988
Aug-2009,3102
Sep-2009,3057
Oct-2009,3055
Nov-2009,3020
Dec-2009,2955
Jan-2010,3060
Feb-2010,3013
Mar-2010,3151
Apr-2010,3133
May-2010,3099
Jun-2010,3104
Jul-2010,3099
Aug-2010,3140
Sep-2010,3164
Oct-2010,3211
Nov-2010,3228
Dec-2010,3210
Jan-2011,3183
Feb-2011,3317
Mar-2011,3323
Apr-2011,3295
May-2011,3324
Jun-2011,3407
Jul-2011,3365
Aug-2011,3172
Sep-2011,3389
Oct-2011,3325
Nov-2011,3370
Dec-2011,3441
Jan-2012,3503
Feb-2012,3534
Mar-2012,3602
Apr-2012,3451
May-2012,3445
Jun-2012,3476
Jul-2012,3465
Aug-2012,3368
Sep-2012,3494
Oct-2012,3510
Nov-2012,3472
Dec-2012,3410
Jan-2013,3641
Feb-2013,3402
Mar-2013,3448
Apr-2013,3470
May-2013,3456
Jun-2013,3450
Jul-2013,3514
Aug-2013,3514
Sep-2013,3512
Oct-2013,3513
Nov-2013,3446
Dec-2013,3442
Jan-2014,3370
Feb-2014,3443
Mar-2014,3453
Apr-2014,3462
May-2014,3447
Jun-2014,3422
Jul-2014,3477
Aug-2014,3515
Sep-2014,3469
Oct-2014,3476
Nov-2014,3530
Dec-2014,3539
Jan-2015,3456
Feb-2015,3426
Mar-2015,3482
Apr-2015,3393
May-2015,3519
Jun-2015,3498
Jul-2015,3498
Aug-2015,3504
Sep-2015,3446
Oct-2015,3465
Nov-2015,3474
Dec-2015,3490
Jan-2016,3498
Feb-2016,3549
Mar-2016,3488
Apr-2016,3495
May-2016,3443
Jun-2016,3460
Jul-2016,3443
Aug-2016,3459
Sep-2016,3427
Oct-2016,"NA"
Nov-2016,"NA"
Dec-2016,"NA"
